testing_enrolled,location_id,assessment_centre,location_name,operated_by,city,address,address_fr,postal_code,province,latitude,longitude,phu,phone,website,monday,tuesday,wednesday,thursday,friday,appointments,phone_appointments,symptomatic,drive_through,accessible,additional_information,saturday,sunday,online_appointments,walk_ins,children_under_2,age_threshold,public_transit,additional_information_fr,location_name_fr,french_language_services,free_parking,weeks_pregnant,general_population,asl_interpretation,email,first_nations,community_lab,vaccine_enrolled,pharmacy
,934,,Purehealth Pharmacy,,Barrie,201 Georgian Drive,,L4M 6M2,ON,44.4149771,-79.6619598,Simcoe Muskoka District Health Unit,705-797-3070,www.barriepharmacy.com,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,1.0,1.0,,,,,10:00-17:00,10:00-17:00,barriepharmacy.com,,,,,,,,,,,,,,,1.0,1.0
,935,,Arcade And Jory Guardian Pharmacy,,Midland,286 King Street,,L4R 3M6,ON,44.749286,-79.885397,Simcoe Muskoka District Health Unit,,https://arcade.medmeapp.ca/schedule,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,1.0,1.0,,,,,09:00-17:00,10:00-15:00,https://arcade.medmeapp.ca/schedule,,,,,,,,,,,,,,,1.0,1.0
,936,,Rexall,,Bradford,461 Holland Street West,,L3Z 0C1,ON,44.10881,-79.590978,Simcoe Muskoka District Health Unit,,https://www.rexall.ca/covid-19/vaccines,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,1.0,1.0,,,,,09:00-19:00,09:00-19:00,https://www.rexall.ca/covid-19/vaccines,,,,,,,,,,,,,,,1.0,1.0
,937,,Gravenhurst IDA Pharmacy,,Gravenhurst,180 Brock Street,,P1P 1X2,ON,44.9203359,-79.3729423,Simcoe Muskoka District Health Unit,705-687-2207,https://gravenhurstida.medmeapp.ca/schedule,08:30-19:00,08:30-19:00,08:30-19:00,08:30-19:00,08:30-19:00,1.0,1.0,,,,,09:00-17:00,11:00-16:00,https://gravenhurstida.medmeapp.ca/schedule,,,,,,,,,,,,,,,1.0,1.0
1.0,938,,Shoppers Drug Mart,,Barrie,420 Essa Road,,L4N 9J7,ON,44.3472386,-79.7030499,Simcoe Muskoka District Health Unit,705-792-4342,https://covid-19.shoppersdrugmart.ca/en,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,1.0,1.0,1.0,,,,08:00-00:00,08:00-00:00,https://covid-19.shoppersdrugmart.ca/en,,,2y,,,,,,,,,,,,1.0,1.0
,939,,Zehrs Markets,,Orillia,289 Coldwater Road,,L3V 6J3,ON,44.608262,-79.43769,Simcoe Muskoka District Health Unit,,www.zehrs.ca/covid19,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,1.0,1.0,,,,,09:00-17:00,10:00-17:00,zehrs.ca/covid19,,,,,,,,,,,,,,,1.0,1.0
,940,,Angus Borden Guardian Pharmacy,,Angus,"6 River Drive, Unit 1",,L0M 1B2,ON,44.3220951,-79.8868509,"Simcoe Muskoka District Health, Unit",,https://angusbordenguardian.myappts.ca/src/,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,1.0,1.0,,,,,09:00-18:00,12:00-17:00,https://angusbordenguardian.myappts.ca/src/,,,,,,,,,,,,,,,1.0,1.0
,941,,Rexall,,Alliston,149 Young Street,,L9R 2A9,ON,44.146935,-79.885958,Simcoe Muskoka District Health Unit,,https://www.rexall.ca/covid-19/vaccines,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,1.0,1.0,,,,,09:00-18:00,09:00-18:00,https://www.rexall.ca/covid-19/vaccines,,,,,,,,,,,,,,,1.0,1.0
,942,,Rexall Pharma Plus,,Barrie,567 Essa Road,,L4N 6A9,ON,44.3371025,-79.7107451,Simcoe Muskoka District Health Unit,,https://www.rexall.ca/covid-19/vaccines,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,1.0,1.0,,,,,08:00-20:00,09:00-18:00,https://www.rexall.ca/covid-19/vaccines,,,,,,,,,,,,,,,1.0,1.0
,943,,Zehrs Markets,,Barrie,620 Yonge Street,,L4N 4E5,ON,44.3567823,-79.6473346,Simcoe Muskoka District Health Unit,,www.zehrs.ca/covid19,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,1.0,1.0,,,,,09:00-18:00,10:00-18:00,zehrs.ca/covid19,,,,,,,,,,,,,,,1.0,1.0
,944,,Loblaw,,Barrie,472 Bayfield Street,,L4M 5A2,ON,44.411566,-79.713203,Simcoe Muskoka District Health Unit,,www.loblaws.ca/covid19,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,1.0,1.0,,,,,09:00-17:00,10:00-17:00,loblaws.ca/covid19,,,,,,,,,,,,,,,1.0,1.0
,945,,Rexall Pharma Plus,,Innisfil,7975 Yonge Street,,L9S 1A8,ON,44.327743,-79.619417,Simcoe Muskoka District Health Unit,,https://www.rexall.ca/covid-19/vaccines,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,1.0,1.0,,,,,09:00-18:00,10:00-18:00,https://www.rexall.ca/covid-19/vaccines,,,,,,,,,,,,,,,1.0,1.0
,946,,Springwater Pharmacy,,Barrie,1017 Carson Road,,L4M 0K1,ON,44.427823,-79.724371,Simcoe Muskoka District Health Unit,,https://springwaterpharmacy.com/covid-vaccine,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,1.0,1.0,,,,,10:00-15:00,closed,https://springwaterpharmacy.com/covid-vaccine,,,,,,,,,,,,,,,1.0,1.0
,947,,Cookstown Pharmasave,,Cookstown,52 Queen Street West,,L0L 1L0,ON,44.189409,-79.708762,Simcoe Muskoka District Health Unit,,https://cookstownpharmasave.medmeapp.ca/schedule,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,1.0,1.0,,,,,09:00-16:00,11:00-16:00,https://cookstownpharmasave.medmeapp.ca/schedule,,,,,,,,,,,,,,,,1.0
,948,,ALcona Pharmacy,,Innisfil,"1070 Innisfil Beach Road, Unit 14",,L9S 4T9,ON,44.3145829,-79.5533948,"Simcoe Muskoka District Health, Unit",,https://alconapharmacy.medmeapp.ca/schedule,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,1.0,1.0,,,,,10:00-15:00,closed,https://alconapharmacy.medmeapp.ca/schedule,,,,,,,,,,,,,,,1.0,1.0
1.0,949,,Shoppers Drug Mart,,Woodstock,959 Dundas Street East,,N4S 1H2,ON,43.13453,-80.732623,Southwestern Public Health,,https://covid-19.shoppersdrugmart.ca/en,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,1.0,1.0,1.0,,,,08:00-00:00,08:00-00:00,https://covid-19.shoppersdrugmart.ca/en,,,2y,,,,,,,,,,,,1.0,1.0
,950,,Ingersoll Pharmasave,,Ingersoll,"19 King Street, Unit 1",,N5C 1G3,ON,43.038117,-80.881638,Southwestern Public Health,,www.ingersollpharmasave.com,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,1.0,1.0,,,,,09:00-18:00,10:00-17:00,www.ingersollpharmasave.com,,,,,,,,,,,,,,,1.0,1.0
,951,,Ingersoll Remedy's Rx,,Ingersoll,273 King Street West,,N5C 2K9,ON,43.031773,-80.893291,Southwestern Public Health,519-425-2118,https://www.pharmaconnect.ca/appointment/e2b79096-e29d-45b3-b276-4db8629384d4,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,1.0,1.0,,,,,09:00-19:00,10:00-17:00,https://www.pharmaconnect.ca/appointment/e2b79096-e29d-45b3-b276-4db8629384d4,,,,,,,,,,,,,,,1.0,1.0
,952,,Shoppers Drug Mart,,Sudbury,2015 Long Lake Road,,P3E 4M8,ON,46.45121,-81.004795,Sudbury and District Health Unit,,https://covid-19.shoppersdrugmart.ca/en,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,1.0,1.0,,,,,08:00-00:00,08:00-00:00,https://covid-19.shoppersdrugmart.ca/en,,,,,,,,,,,,,,,1.0,1.0
,953,,Rexall,,Val Caron,3080 Highway 69 North,,P3N 1N7,ON,46.612422,-81.006349,Sudbury and District Health Unit,,https://www.rexall.ca/covid-19/vaccines,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,1.0,1.0,,,,,09:00-20:00,09:00-18:00,https://www.rexall.ca/covid-19/vaccines,,,,,,,,,,,,,,,1.0,1.0
,954,,Walden Family Drugstore,,Lively,"135 Regional Road 24, Unit 14",,P3Y 1J1,ON,46.420756,-81.140285,"Sudbury and District Health, Unit",705-692-5868,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,1.0,1.0,,,,,09:00-17:00,closed,,,,,,,,,,,,,,,,1.0,1.0
,955,,Shoppers Drug Mart,,Thunder Bay,901 Red River Road,,P7B 1K3,ON,48.446734,-89.250064,Thunder Bay District Health Unit,,https://covid-19.shoppersdrugmart.ca/en,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,1.0,1.0,,,,,08:00-22:00,08:00-22:00,https://covid-19.shoppersdrugmart.ca/en,,,,,,,,,,,,,,,1.0,1.0
1.0,956,,Dawson Heights Pharmacy,,Thunder Bay,109 Regina Avenue,,P7B 5B4,ON,48.4512623,-89.2553546,Thunder Bay District Health Unit,807-285-9999,https://dawsonheightspharmacy.ca,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,1.0,1.0,1.0,,,,10:00-14:00,10:00-14:00,https://dawsonheightspharmacy.ca,,,5y,,,,,,,,,,,,1.0,1.0
,957,,Oak Medical Pharmacy,,Thunder Bay,620 Arthur Street West,,P7E 5R8,ON,48.380065,-89.29607,Thunder Bay District Health Unit,,https://mountdalepharmacy.medmeapp.ca/schedule,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,1.0,1.0,,,,,10:00-14:00,closed,https://mountdalepharmacy.medmeapp.ca/schedule,,,,,,,,,,,,,,,1.0,1.0
,958,,Findlay's Drugstore,,New Liskeard,247 Whitewood Avenue,,P0J 1P0,ON,47.50873,-79.680957,Timiskaming Health Unit,705-647-8186,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,1.0,1.0,,,,,08:00-17:00,09:00-17:00,,,,,,,,,,,,,,,,1.0,1.0
,959,,Smallman Pharmacy,,Haileybury,368 Main Street,,P0J 1K0,ON,47.448756,-79.63382,Timiskaming Health Unit,705-672-5261,,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,1.0,1.0,,,,,09:00-17:00,closed,,,,,,,,,,,,,,,,1.0,1.0
,960,,Walmart Pharmacy,,Temiskaming Shores,133 Highway 11,,P0J 1P0,ON,47.5326775,-79.6719356,Timiskaming Health Unit,,www.walmart.ca/en/covid19-vaccinations-centre-info,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,1.0,1.0,,,,,09:00-18:00,09:00-17:00,www.walmart.ca/en/covid19-vaccinations-centre-info,,,,,,,,,,,,,,,1.0,1.0
,961,,Medical Pharmacy,,Scarborough,"1333 Neilson Road, Unit 110",,M1B 4Y9,ON,43.80843,-79.219649,Toronto Public Health,416-282-5705,https://scarboroughmp.medmeapp.com/schedule/,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-18:00,1.0,1.0,,,,,08:00-13:00,09:00-13:00,https://scarboroughmp.medmeapp.com/schedule/,,,,,,,,,,,,,,,1.0,1.0
,962,,Shoppers Drug Mart,,Scarborough,2355 Warden Avenue,,M1T 1V7,ON,43.784925,-79.309852,Toronto Public Health,,https://covid-19.shoppersdrugmart.ca/en,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,1.0,1.0,1.0,,,,08:00-00:00,08:00-00:00,https://covid-19.shoppersdrugmart.ca/en,,,2y,,,,,,,,,,,,1.0,1.0
,963,,Shoppers Drug Mart,,Scarborough,2900 Warden Avenue,,M1W 2S8,ON,43.799627,-79.31935,Toronto Public Health,,https://covid-19.shoppersdrugmart.ca/en,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,1.0,1.0,,,,,09:00-20:00,10:00-19:00,https://covid-19.shoppersdrugmart.ca/en,,,,,,,,,,,,,,,1.0,1.0
,964,,Rexall,,Scarborough,4040 Finch Avenue East,,M1S 4V5,ON,43.802438,-79.293837,Toronto Public Health,,https://www.rexall.ca/covid-19/vaccines,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,08:30-21:00,1.0,1.0,,,,,09:00-17:00,11:00-15:00,https://www.rexall.ca/covid-19/vaccines,,,,,,,,,,,,,,,1.0,1.0
,965,,Shoppers Drug Mart,,Toronto,70 Eglinton Square Boulevard,,M1L 2K1,ON,43.723647,-79.30042,Toronto Public Health,416-757-1131,https://covid-19.shoppersdrugmart.ca/en,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,1.0,1.0,,,,,08:00-00:00,08:00-00:00,https://covid-19.shoppersdrugmart.ca/en,,,,,,,,,,,,,,,1.0,1.0
,966,,Rexall,,Toronto,325 Moore Avenue,,M4G 3T6,ON,43.696662,-79.369394,Toronto Public Health,519-893-3450,https://www.rexall.ca/covid-19/vaccines,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,1.0,1.0,,,,,09:00-18:00,09:00-17:00,https://www.rexall.ca/covid-19/vaccines,,,,,,,,,,,,,,,1.0,1.0
,967,,Shoppers Drug Mart,,North York,3110 Bathurst Street,,M6A 2A1,ON,43.71935,-79.432783,Toronto Public Health,,https://covid-19.shoppersdrugmart.ca/en,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,1.0,1.0,,,,,09:00-00:00,10:00-00:00,https://covid-19.shoppersdrugmart.ca/en,,,,,,,,,,,,,,,1.0,1.0
1.0,968,,Shoppers Drug Mart,,North York,598 Sheppard Avenue West,,M3H 2S1,ON,43.756243,-79.4395,Toronto Public Health,,https://covid-19.shoppersdrugmart.ca/en,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,1.0,1.0,1.0,,,,09:00-20:00,10:00-18:00,https://covid-19.shoppersdrugmart.ca/en,,,2y,,,,,,,,,,,,1.0,1.0
,969,,Shoppers Drug Mart,,Etobicoke,415 The Westway,,M9R 1H5,ON,43.682878,-79.566322,Toronto Public Health,,https://covid-19.shoppersdrugmart.ca/en,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,1.0,1.0,,,,,08:00-22:00,08:00-22:00,https://covid-19.shoppersdrugmart.ca/en,,,,,,,,,,,,,,,1.0,1.0
,970,,Shoppers Drug Mart,,Toronto,4865 Leslie Street,,M2J 2K8,ON,43.779262,-79.364643,Toronto Public Health,416-493-7977,https://covid-19.shoppersdrugmart.ca/en,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,1.0,1.0,1.0,,,,08:00-00:00,08:00-00:00,https://covid-19.shoppersdrugmart.ca/en,,,2y,,,,,,,,,,,,1.0,1.0
,971,,Shoppers Drug Mart,,Toronto,1515 Steeles Avenue East,,M2M 3Y7,ON,43.8049,-79.384348,Toronto Public Health,,https://covid-19.shoppersdrugmart.ca/en,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,1.0,1.0,,,,,09:00-22:00,10:00-22:00,https://covid-19.shoppersdrugmart.ca/en,,,,,,,,,,,,,,,1.0,1.0
,972,,York Gate IDA Drugmart,,North York,1 York Gate Boulevard,,M3N 3A1,ON,43.7588342,-79.5201185,Toronto Public Health,416-519-7877,yorkgateidadrugmart.com,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,1.0,1.0,,,,,09:00-18:00,09:00-17:00,yorkgateidadrugmart.com,,,,,,,,,,,,,,,1.0,1.0
,973,,Food Basics Pharmacy,,Scarborough,1571 Sandhurst Circle,,M1V 1V2,ON,43.809418,-79.269461,Toronto Public Health,,https://metropharmacy.medmeapp.com/schedule,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,1.0,1.0,,,,,09:00-18:00,10:00-17:00,https://metropharmacy.medmeapp.com/schedule,,,,,,,,,,,,,,,1.0,1.0
,974,,Cassandra Pharmacy,,Toronto,2040 Victoria Park Avenue,,M1R 1V2,ON,43.7524701,-79.3140954,Toronto Public Health,416-449-2040,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,1.0,1.0,,,,,09:00-15:00,closed,,,,,,,,,,,,,,,,1.0,1.0
,975,,Rexall,,Toronto,1235 Wilson Avenue,,M3M 0B2,ON,43.723763,-79.489371,Toronto Public Health,,https://www.rexall.ca/covid-19/vaccines,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,1.0,1.0,,,,,10:00-16:00,10:00-16:00,https://www.rexall.ca/covid-19/vaccines,,,,,,,,,,,,,,,1.0,1.0
,976,,Walmart Pharmacy,,Toronto,1305 Lawrence Avenue West,,M6L 1A5,ON,43.708673,-79.473726,Toronto Public Health,,www.walmart.ca/en/covid19-vaccinations-centre-info,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,1.0,1.0,,,,,07:00-23:00,07:00-23:00,www.walmart.ca/en/covid19-vaccinations-centre-info,,,,,,,,,,,,,,,1.0,1.0
,977,,Demarco Pharmacy,,Toronto,2394 Keele Street,,M6M 4A5,ON,43.7081075,-79.4781905,Toronto Public Health,416-244-5888,,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,1.0,1.0,1.0,,,,09:00-16:00,closed,,,,0m,,,,,,,,,,,,1.0,1.0
,978,,Shoppers Drug Mart,,Scarborough,685 McCowan Road,,M1J 1K2,ON,43.75475,-79.244649,Toronto Public Health,416-431-4822,https://covid-19.shoppersdrugmart.ca/en,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,1.0,1.0,,,,,09:00-22:00,10:00-22:00,https://covid-19.shoppersdrugmart.ca/en,,,,,,,,,,,,,,,1.0,1.0
,979,,Rexall,,Scarborough,2682 Eglinton Avenue East,,M1K 2S3,ON,43.737379,-79.24939,Toronto Public Health,,www.rexall.ca/covid-19/vaccines,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,1.0,1.0,,,,,09:00-22:00,09:00-22:00,www.rexall.ca/covid-19/vaccines,,,,,,,,,,,,,,,1.0,1.0
,980,,Walmart Pharmacy,,Scarborough,300 Borough Drive,,M1P 4P5,ON,43.776875,-79.256655,Toronto Public Health,,www.walmart.ca/en/covid19-vaccinations-centre-info,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,1.0,1.0,,,,,07:00-23:00,07:00-23:00,www.walmart.ca/en/covid19-vaccinations-centre-info,,,,,,,,,,,,,,,1.0,1.0
,981,,Welcome Guardian Pharmacy,,Toronto,1881 Yonge Street,,M4S 3C4,ON,43.697752,-79.396027,Toronto Public Health,416-480-1420,www.davisvilleguardianpharmacy.ca,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,1.0,1.0,,,,,09:00-18:00,10:00-17:00,www.davisvilleguardianpharmacy.ca,,,,,,,,,,,,,,,1.0,1.0
,982,,Walmart Pharmacy,,Etobicoke,165 North Queen Street,,M9C 1A7,ON,43.618422,-79.554106,Toronto Public Health,,www.walmart.ca/en/covid19-vaccinations-centre-info,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,1.0,1.0,,,,,07:00-23:00,07:00-23:00,www.walmart.ca/en/covid19-vaccinations-centre-info,,,,,,,,,,,,,,,1.0,1.0
,983,,Walmart Pharmacy,,Toronto,2245 Islington Avenue,,M9W 3W7,ON,43.713805,-79.553144,Toronto Public Health,,www.walmart.ca/en/covid19-vaccinations-centre-info,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,1.0,1.0,,,,,07:00-23:00,07:00-23:00,www.walmart.ca/en/covid19-vaccinations-centre-info,,,,,,,,,,,,,,,1.0,1.0
,984,,No Frills,,Etobicoke,1530 Albion Road,,M9V 1B4,ON,43.741908,-79.586758,Toronto Public Health,,www.nofrills.ca/covid19,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,1.0,1.0,,,,,09:00-17:00,10:00-17:00,nofrills.ca/covid19,,,,,,,,,,,,,,,1.0,1.0
,985,,Shih Pharmacy,,Rexdale,"2700 Kipling Avenue, Unit 9",,M9V 4P2,ON,43.7567042,-79.5892842,Toronto Public Health,416-740-1623,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,1.0,1.0,,,,,09:00-18:00,11:00-18:00,,,,,,,,,,,,,,,,1.0,1.0
,986,,No Frills,,Scarborough,70 Island Road,,M1C 2P5,ON,43.798214,-79.141271,Toronto Public Health,,www.nofrills.ca/covid19,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,1.0,1.0,,,,,09:00-17:00,10:00-17:00,nofrills.ca/covid19,,,,,,,,,,,,,,,1.0,1.0
,987,,La Rose Pharmacy,,Weston,140 La Rose Avenue,,M9P 1B2,ON,43.6856547,-79.5237744,Toronto Public Health,416-249-8600,,09:30-19:00,09:30-19:00,09:30-19:00,09:30-19:00,09:30-19:00,1.0,1.0,,,,,09:30-16:00,closed,,,,,,,,,,,,,,,,1.0,1.0
1.0,988,,Walmart Pharmacy,,Toronto,2202 Jane Street,,M3M 1A4,ON,43.7221103,-79.5114899,Toronto Public Health,,www.walmart.ca/en/covid19-vaccinations-centre-info,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,1.0,1.0,,,,,07:00-22:00,07:00-21:00,www.walmart.ca/en/covid19-vaccinations-centre-info,1.0,,0m,,,,,,,,,,,,1.0,1.0
,989,,Real Canadian Superstore,,Toronto,51 Gerry Fitzgerald Drive,,M3J 3N4,ON,43.784834,-79.471775,Toronto Public Health,416-665-7636,https://covid19.realcanadiansuperstore.ca/en?navid=flyout-L1-COVID-19,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,1.0,1.0,,,,,09:00-17:00,10:00-17:00,https://covid19.realcanadiansuperstore.ca/en?navid=flyout-L1-COVID-19,,,,,,,,,,,,,,,1.0,1.0
,990,,No Frills,,Etobicoke,220 Royal York Road,,M8V 2V7,ON,43.612186,-79.497828,Toronto Public Health,416-251-9130,www.nofrills.ca/covid19,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,1.0,1.0,,,,,09:00-17:00,10:00-17:00,nofrills.ca/covid19,,,,,,,,,,,,,,,1.0,1.0
,991,,Shoppers Drug Mart,,Scarborough,2863 Ellesmere Road,,M1E 5E9,ON,43.780599,-79.20501,Toronto Public Health,416-724-6055,https://covid-19.shoppersdrugmart.ca/en,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,1.0,1.0,,,,,10:00-21:00,10:00-21:00,https://covid-19.shoppersdrugmart.ca/en,,,,,,,,,,,,,,,1.0,1.0
,992,,No Frills,,Toronto,25 Photography Drive,,M6M 0A1,ON,43.686618,-79.483351,Toronto Public Health,416-763-1502,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,1.0,1.0,,,,,09:00-17:00,closed,,,,,,,,,,,,,,,,1.0,1.0
1.0,993,,Uptown Pharmacy,,Toronto,243 Eglinton Avenue West,,M4R 1B1,ON,43.7047151,-79.4067241,Toronto Public Health,,https://www.bookmyshot.com/416-485-5005,09:00-18:00,09:00-19:00,09:00-18:00,09:00-18:00,09:00-18:00,1.0,1.0,1.0,,,,10:00-14:00,closed,https://www.bookmyshot.com/416-485-5005,,,0m,,,,,,,,,,,,1.0,1.0
,994,,Dundas West Village Pharmacy,,Toronto,2940 Dundas Street West,,M6P 1Y8,ON,43.6655555,-79.4675968,Toronto Public Health,416-761-9036,www.dundaswestpharmacy.ca,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,1.0,1.0,,,,,09:00-18:00,11:00-17:00,dundaswestpharmacy.ca,,,,,,,,,,,,,,,1.0,1.0
,995,,Loblaw,,Toronto,585 Queen Street West,,M5V 2B7,ON,43.647474,-79.401691,Toronto Public Health,,www.loblaws.ca/covid19,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,1.0,1.0,,,,,10:00-17:00,10:00-17:00,loblaws.ca/covid19,,,,,,,,,,,,,,,1.0,1.0
,996,,Healing Arts Pharmacy,,Toronto,"170 The Donway West, Unit 113",,M3C 2J2,ON,43.7354113,-79.3480079,Toronto Public Health,416-444-2604,,09:30-19:00,09:30-19:00,09:30-19:00,09:30-19:00,09:30-18:00,1.0,1.0,,,,,09:30-16:00,closed,,,,,,,,,,,,,,,,1.0,1.0
,997,,Morelli's Pharmacy,,Toronto,15 York Street,,M5J 0A3,ON,43.6424182,-79.3809367,Toronto Public Health,416-815-1200,https://morellis15yorkst.medmeapp.ca/schedule/,09:30-18:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-18:00,1.0,1.0,,,,,09:00-17:00,10:00-17:00,https://morellis15yorkst.medmeapp.ca/schedule/,,,,,,,,,,,,,,,1.0,1.0
,998,,Canada Chemists,,Toronto,1975 Avenue Road,,M5M 4A3,ON,43.7347843,-79.419592,Toronto Public Health,416-440-8008,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,1.0,1.0,,,,,10:00-15:00,closed,,,,,,,,,,,,,,,,1.0,1.0
1.0,999,,Health Corner Pharmacy,,Scarborough,"2167 Victoria Park Avenue, Unit 3",,M1R 1V5,ON,43.7589132,-79.3150402,Toronto Public Health,416-384-0707,,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,1.0,1.0,1.0,,,,10:00-17:00,closed,,,,0m,,,,,,,,,,,,1.0,1.0
1.0,1000,,Shoppers Drug Mart,,Cambridge,"115 Dundas Street, Unit 1",,N1R 5T8,ON,43.359343,-80.294153,"Region of Waterloo, Public Health",519-623-5920,https://covid-19.shoppersdrugmart.ca/en,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,1.0,1.0,1.0,,,,08:00-00:00,08:00-00:00,https://covid-19.shoppersdrugmart.ca/en,,,2y,,,,,,,,,,,,1.0,1.0
,1001,,Shoppers Drug Mart,,Kitchener,123 Pioneer Drive,,N2P 2A3,ON,43.39396,-80.431273,"Region of Waterloo, Public Health",519-748-4525,https://covid-19.shoppersdrugmart.ca/en,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,1.0,1.0,,,,,08:00-22:00,08:00-22:00,https://covid-19.shoppersdrugmart.ca/en,,,,,,,,,,,,,,,1.0,1.0
,1002,,Walmart Pharmacy,,Kitchener,2960 Kingsway Drive,,N2C 1X1,ON,43.425599,-80.437732,"Region of Waterloo, Public Health",,www.walmart.ca/en/covid19-vaccinations-centre-info,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,1.0,1.0,,,,,07:00-23:00,07:00-23:00,www.walmart.ca/en/covid19-vaccinations-centre-info,,,,,,,,,,,,,,,1.0,1.0
